st_x,st_y,name1_,timeperiod,area_id,indicator_,unit_id,subgroup_i,data_value
75.78567761983722,14.911933375121952,Karnataka,19,34,157,2,15,466034
75.78567761983722,14.911933375121952,Karnataka,19,34,157,2,3,552168
75.78567761983722,14.911933375121952,Karnataka,19,34,157,2,7,275651
75.78567761983722,14.911933375121952,Karnataka,19,34,157,2,6,831637
76.34667246568723,29.043002630169113,Haryana,19,14,157,2,6,365701
76.34667246568723,29.043002630169113,Haryana,19,14,157,2,3,217771
76.34667246568723,29.043002630169113,Haryana,19,14,157,2,15,214455
76.34667246568723,29.043002630169113,Haryana,19,14,157,2,2,89606
76.34667246568723,29.043002630169113,Haryana,19,14,157,2,14,153738
76.34667246568723,29.043002630169113,Haryana,19,14,157,2,4,104248
76.34667246568723,29.043002630169113,Haryana,19,14,157,2,5,1840
76.34667246568723,29.043002630169113,Haryana,19,14,157,2,1,168637
77.06791821833866,28.475573579202702,Delhi,19,33,157,2,6,153880
73.78411998985575,26.63330861454161,Rajasthan,19,17,157,2,2,203322
73.78411998985575,26.63330861454161,Rajasthan,19,17,157,2,1,567341
73.78411998985575,26.63330861454161,Rajasthan,19,17,157,2,6,1399944
73.78411998985575,26.63330861454161,Rajasthan,19,17,157,2,7,285994
73.78411998985575,26.63330861454161,Rajasthan,19,17,157,2,3,1101613
73.78411998985575,26.63330861454161,Rajasthan,19,17,157,2,15,810523
85.3468702757565,25.73710097347404,Bihar,19,4,157,2,2,399283
73.64156529547026,15.60990657944792,Goa,19,2,157,2,2,5955
85.3468702757565,25.73710097347404,Bihar,19,4,157,2,1,1845049
73.64156529547026,15.60990657944792,Goa,19,2,157,2,1,3030
85.3468702757565,25.73710097347404,Bihar,19,4,157,2,5,123359
73.64156529547026,15.60990657944792,Goa,19,2,157,2,5,1704
85.3468702757565,25.73710097347404,Bihar,19,4,157,2,4,821464
73.64156529547026,15.60990657944792,Goa,19,2,157,2,3,2674
85.3468702757565,25.73710097347404,Bihar,19,4,157,2,14,1530463
73.64156529547026,15.60990657944792,Goa,19,2,157,2,7,9874
85.3468702757565,25.73710097347404,Bihar,19,4,157,2,15,1707613
73.64156529547026,15.60990657944792,Goa,19,2,157,2,6,12277
85.3468702757565,25.73710097347404,Bihar,19,4,157,2,3,2963247
72.1188721797076,10.388982618581379,Lakshadweep,19,21,157,2,6,383
85.3468702757565,25.73710097347404,Bihar,19,4,157,2,7,263220
79.51050012000368,11.740999065807424,Puducherry,19,8,157,2,6,14229
85.3468702757565,25.73710097347404,Bihar,19,4,157,2,6,3244083
72.04295536671121,20.75688954468224,Daman and Diu,19,28,157,2,6,2428
94.09729077516093,28.567025525997593,Arunachal Pradesh,19,7,157,2,2,1408
84.31493574474683,20.590794288427613,Orissa,19,22,157,2,7,66941
94.09729077516093,28.567025525997593,Arunachal Pradesh,19,7,157,2,1,689
94.09729077516093,28.567025525997593,Arunachal Pradesh,19,7,157,2,5,13158
94.09729077516093,28.567025525997593,Arunachal Pradesh,19,7,157,2,4,800
94.09729077516093,28.567025525997593,Arunachal Pradesh,19,7,157,2,3,12779
94.09729077516093,28.567025525997593,Arunachal Pradesh,19,7,157,2,7,3174
94.09729077516093,28.567025525997593,Arunachal Pradesh,19,7,157,2,6,16020
93.49201479528065,25.093316360382513,Manipur,19,10,157,2,6,24456
93.49201479528065,25.093316360382513,Manipur,19,10,157,2,2,7327
93.49201479528065,25.093316360382513,Manipur,19,10,157,2,1,4380
93.49201479528065,25.093316360382513,Manipur,19,10,157,2,5,9776
93.49201479528065,25.093316360382513,Manipur,19,10,157,2,4,2375
93.49201479528065,25.093316360382513,Manipur,19,10,157,2,3,18916
93.49201479528065,25.093316360382513,Manipur,19,10,157,2,7,5772
92.53637659290843,23.641737770491975,Mizoram,19,29,157,2,3,5879
90.91791307737327,25.876317665688205,Meghalaya,19,32,157,2,3,45774
90.91791307737327,25.876317665688205,Meghalaya,19,32,157,2,5,53175
90.91791307737327,25.876317665688205,Meghalaya,19,32,157,2,4,1702
90.91791307737327,25.876317665688205,Meghalaya,19,32,157,2,2,192
90.91791307737327,25.876317665688205,Meghalaya,19,32,157,2,7,7570
90.91791307737327,25.876317665688205,Meghalaya,19,32,157,2,6,54854
92.4196278828969,26.766939060443047,Assam,19,16,157,2,2,182891
92.4196278828969,26.766939060443047,Assam,19,16,157,2,1,115873
92.4196278828969,26.766939060443047,Assam,19,16,157,2,5,47727
92.4196278828969,26.766939060443047,Assam,19,16,157,2,4,51007
92.4196278828969,26.766939060443047,Assam,19,16,157,2,14,193233
92.4196278828969,26.766939060443047,Assam,19,16,157,2,15,244631
92.4196278828969,26.766939060443047,Assam,19,16,157,2,3,377375
92.4196278828969,26.766939060443047,Assam,19,16,157,2,7,33665
92.4196278828969,26.766939060443047,Assam,19,16,157,2,6,436358
87.79602565502599,23.94742698365626,West Bengal,19,35,157,2,6,705106
87.79602565502599,23.94742698365626,West Bengal,19,35,157,2,7,211184
87.79602565502599,23.94742698365626,West Bengal,19,35,157,2,3,488698
87.79602565502599,23.94742698365626,West Bengal,19,35,157,2,15,353417
87.79602565502599,23.94742698365626,West Bengal,19,35,157,2,14,354332
87.79602565502599,23.94742698365626,West Bengal,19,35,157,2,4,245196
87.79602565502599,23.94742698365626,West Bengal,19,35,157,2,5,62478
87.79602565502599,23.94742698365626,West Bengal,19,35,157,2,1,90076
87.79602565502599,23.94742698365626,West Bengal,19,35,157,2,2,297366
81.84328728666891,21.309780852251308,Chhattisgarh,19,6,157,2,2,17252
81.84328728666891,21.309780852251308,Chhattisgarh,19,6,157,2,1,192285
81.84328728666891,21.309780852251308,Chhattisgarh,19,6,157,2,5,170552
81.84328728666891,21.309780852251308,Chhattisgarh,19,6,157,2,4,61067
81.84328728666891,21.309780852251308,Chhattisgarh,19,6,157,2,14,197826
76.00969575794673,10.665766695984736,Kerala,19,5,157,2,5,2173
76.00969575794673,10.665766695984736,Kerala,19,5,157,2,2,41921
76.00969575794673,10.665766695984736,Kerala,19,5,157,2,1,105470
76.00969575794673,10.665766695984736,Kerala,19,5,157,2,4,13976
76.00969575794673,10.665766695984736,Kerala,19,5,157,2,14,73464
76.00969575794673,10.665766695984736,Kerala,19,5,157,2,15,91431
76.00969575794673,10.665766695984736,Kerala,19,5,157,2,3,67504
76.00969575794673,10.665766695984736,Kerala,19,5,157,2,7,96623
76.00969575794673,10.665766695984736,Kerala,19,5,157,2,6,164591
78.09686439400313,11.240326690064588,Tamil Nadu,19,24,157,2,5,9132
